,Labels,Value
0,CCA,0
1,CCA,0
2,CCA,0
3,CCA,0
4,CCA,0
5,CCA,3
6,CCA,4
7,CCA,4
8,CCA,4
9,CCA,2
10,CCA,2
11,CCA,2
12,CCA,2
13,CCA,0
14,CCA,0
15,CCA,3
16,CCA,3
17,CCA,3
18,CCA,3
19,CCA,3
20,CCA,3
21,CCA,3
22,CCA,3
23,CCA,3
24,CCA,3
25,CCA,3
26,CCA,3
27,CCA,3
28,CCA,3
29,CCA,0
30,CCA,0
31,CCA,0
32,CCA,0
33,CCA,0
34,CCA,0
35,CCA,0
36,CCA,0
37,CCA,0
38,CCA,1
39,CCA,1
40,CCA,1
41,CCA,1
42,CCA,1
43,CCA,1
44,CCA,1
45,CCA,1
46,CCA,3
47,CCA,3
48,CCA,3
49,CCA,3
50,CCA,3
51,CCA,4
52,CCA,4
53,CCA,4
54,CCA,4
55,CCA,1
56,CCA,1
57,CCA,1
58,CCA,1
59,CCA,1
60,CCA,1
61,CCA,1
62,CCA,1
63,CCA,4
64,CCA,4
65,CCA,4
66,CCA,4
67,CCA,4
68,CCA,4
69,CCA,1
70,CCA,3
71,CCA,3
72,CCA,3
73,CCA,3
74,CCA,3
75,CCA,3
76,CCA,3
77,CCA,3
78,CCA,4
79,CCA,4
80,CCA,4
81,CCA,3
82,CCA,0
83,CCA,0
84,CCA,0
85,CCA,0
86,CCA,0
87,CCA,2
88,CCA,2
89,CCA,2
90,CCA,4
91,CCA,4
92,CCA,4
93,CCA,4
94,CCA,4
95,CCA,4
96,CCA,4
97,CCA,4
98,CCA,4
99,CCA,4
100,CCA,4
101,CCA,4
102,CCA,1
103,CCA,0
104,CCA,0
105,CCA,0
106,CCA,0
107,CCA,0
108,CCA,0
109,CCA,3
110,CCA,3
111,CCA,3
112,CCA,4
113,CCA,4
114,CCA,4
115,CCA,4
116,CCA,2
117,CCA,2
118,CCA,2
119,CCA,2
120,CCA,2
121,CCA,2
122,CCA,2
123,CCA,2
124,CCA,4
125,CCA,4
126,CCA,4
