,k,ACC
0,3,0.4715420941210648
0,3,0.49510262962132495
0,3,0.4821851568507214
0,3,0.48666448118313593
0,3,0.4606471626422205
0,3,0.49590555929259944
0,3,0.5005571636027504
0,3,0.4825369146566738
0,3,0.47576127060756707
0,3,0.47334125328781634
0,3,0.460493820366383
0,3,0.5814261787743245
0,3,0.4789790973216201
0,3,0.4911430535121972
0,3,0.45475336677510997
0,3,0.48268315113390303
0,3,0.508221112524862
0,3,0.5866370720372793
0,3,0.4866378269961448
0,3,0.5824778984235344
0,3,0.4719283104721223
0,3,0.4579055346469194
0,3,0.4643865598733303
0,3,0.49038342513860456
0,3,0.46576186592111013
0,3,0.4716071434449502
0,3,0.4690709942285919
0,3,0.49173710967406775
0,3,0.49214099766515046
0,3,0.4588735759051945
0,3,0.5001608120604696
0,3,0.48875069604672033
0,3,0.4474847703749607
0,3,0.5781972870345587
0,3,0.45044580214404956
0,3,0.5731967789565235
0,3,0.4779499456960116
0,3,0.4981491485392937
0,3,0.4842239951805027
0,3,0.4854147472839601
0,3,0.5847929727890673
0,3,0.3089723345729942
0,3,0.4660631256861746
0,3,0.5037170022118118
0,3,0.5051099119610818
0,3,0.5861384220161335
0,3,0.4628806679230126
0,3,0.4802320001627641
0,3,0.47688363226354363
0,3,0.46901290085409103
0,4,0.6755675363751615
0,4,0.6667933273059039
0,4,0.669844967626457
0,4,0.6756040383551358
0,4,0.662086650361618
0,4,0.6394880420794709
0,4,0.6754386972481922
0,4,0.6517043976103573
0,4,0.6500603729411846
0,4,0.6551640290016686
0,4,0.6628044052876712
0,4,0.6598554900842903
0,4,0.6779395282854602
0,4,0.6569991071207175
0,4,0.6555689473839912
0,4,0.6736612027232557
0,4,0.6587800463953631
0,4,0.6407612680411492
0,4,0.6613075514305459
0,4,0.6566031229977785
0,4,0.6615974073360668
0,4,0.6536226149797886
0,4,0.6551424763894506
0,4,0.6718522027501314
0,4,0.6537227548887967
0,4,0.6498513592914212
0,4,0.5332821231472711
0,4,0.6664626624688795
0,4,0.6680415400456887
0,4,0.668024406668767
0,4,0.670849568840676
0,4,0.6623532557090549
0,4,0.6611860147187953
0,4,0.6553357093480668
