,Labels,Value
0,PCA,0
1,PCA,0
2,PCA,0
3,PCA,1
4,PCA,2
5,PCA,2
6,PCA,2
7,PCA,2
8,PCA,2
9,PCA,2
10,PCA,2
11,PCA,0
12,PCA,0
13,PCA,0
14,PCA,0
15,PCA,0
16,PCA,0
17,PCA,0
18,PCA,0
19,PCA,0
20,PCA,0
21,PCA,0
22,PCA,0
23,PCA,0
24,PCA,3
25,PCA,3
26,PCA,2
27,PCA,2
28,PCA,2
29,PCA,2
30,PCA,0
31,PCA,0
32,PCA,0
33,PCA,1
34,PCA,1
35,PCA,1
36,PCA,1
37,PCA,1
38,PCA,1
39,PCA,1
40,PCA,1
41,PCA,0
42,PCA,0
43,PCA,0
44,PCA,0
45,PCA,0
46,PCA,3
47,PCA,3
48,PCA,3
49,PCA,3
50,PCA,2
51,PCA,2
52,PCA,4
53,PCA,4
54,PCA,4
55,PCA,4
56,PCA,4
57,PCA,4
58,PCA,2
59,PCA,2
60,PCA,2
61,PCA,2
62,PCA,2
63,PCA,2
64,PCA,2
65,PCA,3
66,PCA,3
67,PCA,3
68,PCA,2
69,PCA,2
70,PCA,2
71,PCA,2
72,PCA,1
73,PCA,1
74,PCA,1
75,PCA,4
76,PCA,4
77,PCA,4
78,PCA,2
79,PCA,2
80,PCA,2
81,PCA,2
82,PCA,2
83,PCA,2
84,PCA,2
85,PCA,0
86,PCA,0
87,PCA,0
88,PCA,3
89,PCA,3
90,PCA,3
91,PCA,3
92,PCA,2
93,PCA,2
94,PCA,2
95,PCA,2
96,PCA,2
97,PCA,3
98,PCA,3
99,PCA,3
100,PCA,3
101,PCA,3
102,PCA,2
103,PCA,2
104,PCA,1
105,PCA,1
106,PCA,1
107,PCA,1
108,PCA,1
109,PCA,1
110,PCA,1
111,PCA,4
112,PCA,4
113,PCA,4
114,PCA,4
115,PCA,4
116,PCA,4
117,PCA,3
118,PCA,3
119,PCA,3
120,PCA,3
121,PCA,3
122,PCA,3
123,PCA,3
124,PCA,3
125,PCA,3
126,PCA,3
127,PCA,3
128,PCA,3
129,PCA,3
130,PCA,3
131,PCA,3
132,PCA,3
133,PCA,3
134,PCA,3
135,PCA,3
136,PCA,3
137,PCA,3
138,PCA,3
139,PCA,3
140,PCA,3
141,PCA,3
142,PCA,0
143,PCA,0
144,PCA,0
145,PCA,0
146,PCA,0
147,PCA,3
148,PCA,3
149,PCA,3
150,PCA,3
151,PCA,3
152,PCA,3
153,PCA,0
154,PCA,0
155,PCA,0
156,PCA,0
157,PCA,0
158,PCA,0
159,PCA,0
160,PCA,0
161,PCA,0
162,PCA,0
163,PCA,0
164,PCA,0
165,PCA,0
166,PCA,0
167,PCA,0
168,PCA,0
169,PCA,0
170,PCA,1
171,PCA,1
172,PCA,1
173,PCA,1
174,PCA,1
175,PCA,1
176,PCA,1
177,PCA,1
178,PCA,1
179,PCA,1
180,PCA,1
181,PCA,1
182,PCA,1
183,PCA,1
184,PCA,3
185,PCA,3
