,k,ACC
0,3,0.9973250031471252
0,3,0.9998722672462463
0,3,0.9975495934486389
0,3,0.9997020959854126
0,3,0.9980186223983765
0,3,0.9977344870567322
0,3,0.9992223978042603
0,3,0.9989075064659119
0,3,0.9987013936042786
0,3,0.9982894062995911
0,3,0.9994320869445801
0,3,0.9867706298828125
0,3,0.9999112486839294
0,3,0.9997589588165283
0,3,0.9714804291725159
0,3,0.9995469450950623
0,3,0.9995770454406738
0,3,0.9983590841293335
0,3,0.998299241065979
0,3,0.8190959095954895
0,3,0.9976992607116699
0,3,0.9978081583976746
0,3,0.9970131516456604
0,3,0.999367892742157
0,3,0.9990468621253967
0,3,0.9996348023414612
0,3,0.9995779395103455
0,3,0.9976434707641602
0,3,0.9997386336326599
0,3,0.9993649125099182
0,3,0.9985668659210205
0,3,0.998275637626648
0,3,0.99978107213974
0,3,0.9998499751091003
0,3,0.9991174936294556
0,3,0.9989715814590454
0,3,0.9985775351524353
0,3,0.9992907047271729
0,3,0.9996380805969238
0,3,0.9995385408401489
0,3,0.9987624883651733
0,3,0.9990526437759399
0,3,0.9998354911804199
0,3,0.8272965550422668
0,3,0.9995675086975098
0,3,0.9995849132537842
0,3,0.9982608556747437
0,3,0.999774694442749
0,3,0.9996470808982849
0,3,0.9997323155403137
0,4,0.9979885220527649
0,4,0.9875691533088684
0,4,0.974625825881958
0,4,0.9962996244430542
0,4,0.996775209903717
0,4,0.9858323335647583
0,4,0.9607926607131958
0,4,0.9942101836204529
0,4,0.9993501901626587
0,4,0.9871886372566223
0,4,0.9994559288024902
0,4,0.9991319179534912
0,4,0.9992191195487976
0,4,0.9992092251777649
0,4,0.9995195865631104
0,4,0.9790833592414856
0,4,0.9993104338645935
0,4,0.9996307492256165
0,4,0.9966344237327576
0,4,0.9996395111083984
0,4,0.999301016330719
0,4,0.9995231032371521
0,4,0.9997671246528625
0,4,0.9996787309646606
0,4,0.9972869157791138
0,4,0.9992504715919495
0,4,0.9984104633331299
0,4,0.9996099472045898
0,4,0.9995361566543579
0,4,0.9982472658157349
0,4,0.9994346499443054
0,4,0.999648928642273
0,4,0.9984934329986572
0,4,0.9986419081687927
0,4,0.9990914463996887
0,4,0.9996368885040283
0,4,0.9995575547218323
0,4,0.9995822310447693
0,4,0.9991384744644165
0,4,0.9995737671852112
0,4,0.999657928943634
0,4,0.9888500571250916
0,4,0.9970217943191528
0,4,0.9979305863380432
0,4,0.9982454776763916
0,4,0.9858012795448303
0,4,0.98180091381073
0,4,0.9990971088409424
0,4,0.9993297457695007
0,4,0.9738271236419678
0,5,0.8965098261833191
0,5,0.9905325174331665
0,5,0.9761008620262146
0,5,0.9696282744407654
0,5,0.9954612851142883
0,5,0.9972337484359741
0,5,0.9988195896148682
0,5,0.9987495541572571
0,5,0.993765652179718
0,5,0.9679543972015381
0,5,0.977502167224884
0,5,0.9989326000213623
0,5,0.9637041687965393
0,5,0.9986739158630371
0,5,0.996138334274292
0,5,0.9442545175552368
0,5,0.9991295337677002
0,5,0.9973539113998413
0,5,0.9948805570602417
0,5,0.9465946555137634
0,5,0.9964014887809753
0,5,0.9951308369636536
0,5,0.9993335008621216
0,5,0.99725741147995
0,5,0.9982638359069824
0,5,0.9969282150268555
0,5,0.9978664517402649
0,5,0.9903974533081055
0,5,0.9985551238059998
0,5,0.9956880211830139
0,5,0.9949983954429626
0,5,0.996677815914154
0,5,0.9907231330871582
0,5,0.9720458388328552
0,5,0.9992388486862183
0,5,0.997891902923584
0,5,0.991776168346405
0,5,0.9705389142036438
0,5,0.9944291710853577
0,5,0.9811415672302246
0,5,0.9993734955787659
0,5,0.9968027472496033
0,5,0.9964659810066223
0,5,0.9983192682266235
0,5,0.9956563115119934
0,5,0.9606606960296631
0,5,0.9989761114120483
0,5,0.9993685483932495
0,5,0.9979777932167053
0,5,0.9952942132949829
0,6,0.980191171169281
0,6,0.9984236359596252
0,6,0.6468850374221802
0,6,0.9988834857940674
0,6,0.6579027771949768
0,6,0.9767376184463501
0,6,0.9980725049972534
0,6,0.9976702332496643
0,6,0.9984793066978455
0,6,0.6647579669952393
0,6,0.9994778633117676
0,6,0.9990299940109253
0,6,0.9988070726394653
0,6,0.9992414712905884
0,6,0.707011878490448
0,6,0.9977176785469055
0,6,0.9990659356117249
0,6,0.635537326335907
0,6,0.9984152317047119
0,6,0.6462836265563965
0,6,0.9989438652992249
0,6,0.9989405870437622
0,6,0.9976632595062256
0,6,0.9967918395996094
0,6,0.6807056069374084
0,6,0.9983750581741333
0,6,0.9993035793304443
0,6,0.6416122317314148
0,6,0.6280859112739563
0,6,0.9967825412750244
0,6,0.9979705214500427
0,6,0.6398162245750427
0,6,0.9982245564460754
0,6,0.6356295347213745
0,6,0.9983029365539551
0,6,0.6999929547309875
