,Labels,Value
0,R-VAE,0
1,R-VAE,0
2,R-VAE,0
3,R-VAE,0
4,R-VAE,1
5,R-VAE,2
6,R-VAE,3
7,R-VAE,3
8,R-VAE,2
9,R-VAE,2
10,R-VAE,1
11,R-VAE,1
12,R-VAE,1
13,R-VAE,1
14,R-VAE,1
15,R-VAE,1
16,R-VAE,2
17,R-VAE,2
18,R-VAE,2
19,R-VAE,1
20,R-VAE,1
21,R-VAE,1
22,R-VAE,2
23,R-VAE,1
24,R-VAE,2
25,R-VAE,3
26,R-VAE,3
27,R-VAE,3
28,R-VAE,2
29,R-VAE,1
30,R-VAE,0
31,R-VAE,0
32,R-VAE,0
33,R-VAE,0
34,R-VAE,0
35,R-VAE,1
36,R-VAE,2
37,R-VAE,1
38,R-VAE,1
39,R-VAE,1
40,R-VAE,2
41,R-VAE,2
42,R-VAE,2
43,R-VAE,2
44,R-VAE,1
45,R-VAE,1
46,R-VAE,2
47,R-VAE,3
48,R-VAE,4
49,R-VAE,4
50,R-VAE,4
51,R-VAE,4
52,R-VAE,3
53,R-VAE,2
54,R-VAE,1
55,R-VAE,1
56,R-VAE,1
57,R-VAE,1
58,R-VAE,1
59,R-VAE,1
60,R-VAE,1
61,R-VAE,1
62,R-VAE,2
63,R-VAE,2
64,R-VAE,3
65,R-VAE,2
66,R-VAE,2
67,R-VAE,2
68,R-VAE,3
69,R-VAE,2
70,R-VAE,2
71,R-VAE,2
72,R-VAE,2
73,R-VAE,3
74,R-VAE,3
75,R-VAE,4
76,R-VAE,4
77,R-VAE,4
78,R-VAE,4
79,R-VAE,3
80,R-VAE,4
81,R-VAE,3
82,R-VAE,1
83,R-VAE,1
84,R-VAE,0
85,R-VAE,1
86,R-VAE,0
87,R-VAE,1
88,R-VAE,1
89,R-VAE,2
90,R-VAE,2
91,R-VAE,4
92,R-VAE,4
93,R-VAE,4
94,R-VAE,4
95,R-VAE,3
96,R-VAE,3
97,R-VAE,4
98,R-VAE,3
99,R-VAE,3
100,R-VAE,3
101,R-VAE,4
102,R-VAE,2
103,R-VAE,1
104,R-VAE,1
105,R-VAE,0
106,R-VAE,0
107,R-VAE,0
108,R-VAE,1
109,R-VAE,1
110,R-VAE,2
111,R-VAE,3
112,R-VAE,3
113,R-VAE,3
114,R-VAE,2
115,R-VAE,2
116,R-VAE,1
117,R-VAE,2
118,R-VAE,2
119,R-VAE,2
120,R-VAE,1
121,R-VAE,2
122,R-VAE,2
123,R-VAE,3
124,R-VAE,3
125,R-VAE,3
126,R-VAE,4
127,R-VAE,3
128,R-VAE,3
129,R-VAE,3
130,R-VAE,3
131,R-VAE,3
132,R-VAE,4
133,R-VAE,3
134,R-VAE,3
135,R-VAE,3
136,R-VAE,3
137,R-VAE,3
138,R-VAE,3
139,R-VAE,2
140,R-VAE,2
141,R-VAE,2
142,R-VAE,1
143,R-VAE,1
144,R-VAE,0
145,R-VAE,0
146,R-VAE,1
147,R-VAE,1
148,R-VAE,2
149,R-VAE,3
150,R-VAE,2
151,R-VAE,2
152,R-VAE,2
153,R-VAE,1
154,R-VAE,1
155,R-VAE,1
156,R-VAE,2
157,R-VAE,2
158,R-VAE,2
159,R-VAE,1
160,R-VAE,1
161,R-VAE,0
162,R-VAE,0
163,R-VAE,0
164,R-VAE,0
165,R-VAE,0
166,R-VAE,0
167,R-VAE,1
168,R-VAE,1
169,R-VAE,1
170,R-VAE,1
171,R-VAE,0
172,R-VAE,0
173,R-VAE,0
174,R-VAE,0
175,R-VAE,2
176,R-VAE,2
177,R-VAE,2
178,R-VAE,2
179,R-VAE,3
180,R-VAE,2
181,R-VAE,1
182,R-VAE,2
183,R-VAE,2
184,R-VAE,1
185,R-VAE,2
186,R-VAE,2
187,R-VAE,2
188,R-VAE,2
189,R-VAE,3
190,R-VAE,4
191,R-VAE,3
192,R-VAE,2
193,R-VAE,1
194,R-VAE,0
195,R-VAE,0
196,R-VAE,0
197,R-VAE,0
198,R-VAE,0
199,R-VAE,0
200,R-VAE,0
201,R-VAE,0
202,R-VAE,1
203,R-VAE,1
204,R-VAE,3
205,R-VAE,2
206,R-VAE,2
207,R-VAE,3
208,R-VAE,4
209,R-VAE,4
210,R-VAE,4
211,R-VAE,4
212,R-VAE,3
213,R-VAE,3
214,R-VAE,3
215,R-VAE,2
216,R-VAE,1
217,R-VAE,1
218,R-VAE,0
219,R-VAE,1
220,R-VAE,1
221,R-VAE,1
222,R-VAE,1
223,R-VAE,1
224,R-VAE,0
225,R-VAE,0
226,R-VAE,1
227,R-VAE,2
228,R-VAE,1
229,R-VAE,1
230,R-VAE,1
231,R-VAE,2
232,R-VAE,2
233,R-VAE,2
234,R-VAE,2
235,R-VAE,2
236,R-VAE,2
