,Labels,Value
0,RMM-VAE,1
1,RMM-VAE,1
2,RMM-VAE,1
3,RMM-VAE,1
4,RMM-VAE,1
5,RMM-VAE,3
6,RMM-VAE,4
7,RMM-VAE,4
8,RMM-VAE,2
9,RMM-VAE,2
10,RMM-VAE,2
11,RMM-VAE,0
12,RMM-VAE,0
13,RMM-VAE,0
14,RMM-VAE,1
15,RMM-VAE,1
16,RMM-VAE,1
17,RMM-VAE,1
18,RMM-VAE,1
19,RMM-VAE,0
20,RMM-VAE,0
21,RMM-VAE,0
22,RMM-VAE,0
23,RMM-VAE,1
24,RMM-VAE,1
25,RMM-VAE,2
26,RMM-VAE,2
27,RMM-VAE,2
28,RMM-VAE,1
29,RMM-VAE,1
30,RMM-VAE,0
31,RMM-VAE,0
32,RMM-VAE,0
33,RMM-VAE,0
34,RMM-VAE,1
35,RMM-VAE,1
36,RMM-VAE,1
37,RMM-VAE,1
38,RMM-VAE,1
39,RMM-VAE,1
40,RMM-VAE,1
41,RMM-VAE,1
42,RMM-VAE,1
43,RMM-VAE,1
44,RMM-VAE,1
45,RMM-VAE,1
46,RMM-VAE,1
47,RMM-VAE,2
48,RMM-VAE,4
49,RMM-VAE,4
50,RMM-VAE,4
51,RMM-VAE,4
52,RMM-VAE,4
53,RMM-VAE,3
54,RMM-VAE,3
55,RMM-VAE,3
56,RMM-VAE,3
57,RMM-VAE,0
58,RMM-VAE,0
59,RMM-VAE,0
60,RMM-VAE,0
61,RMM-VAE,0
62,RMM-VAE,0
63,RMM-VAE,2
64,RMM-VAE,2
65,RMM-VAE,2
66,RMM-VAE,2
67,RMM-VAE,2
68,RMM-VAE,2
69,RMM-VAE,2
70,RMM-VAE,3
71,RMM-VAE,3
72,RMM-VAE,3
73,RMM-VAE,3
74,RMM-VAE,4
75,RMM-VAE,4
76,RMM-VAE,4
77,RMM-VAE,4
78,RMM-VAE,4
79,RMM-VAE,4
80,RMM-VAE,4
81,RMM-VAE,3
82,RMM-VAE,3
83,RMM-VAE,1
84,RMM-VAE,0
85,RMM-VAE,0
86,RMM-VAE,0
87,RMM-VAE,0
88,RMM-VAE,1
89,RMM-VAE,2
90,RMM-VAE,2
91,RMM-VAE,4
92,RMM-VAE,4
93,RMM-VAE,4
94,RMM-VAE,3
95,RMM-VAE,3
96,RMM-VAE,3
97,RMM-VAE,2
98,RMM-VAE,2
99,RMM-VAE,2
100,RMM-VAE,2
101,RMM-VAE,2
102,RMM-VAE,1
103,RMM-VAE,1
104,RMM-VAE,0
105,RMM-VAE,0
106,RMM-VAE,0
107,RMM-VAE,1
108,RMM-VAE,1
109,RMM-VAE,1
110,RMM-VAE,3
111,RMM-VAE,3
112,RMM-VAE,4
113,RMM-VAE,4
114,RMM-VAE,3
115,RMM-VAE,2
116,RMM-VAE,2
117,RMM-VAE,2
118,RMM-VAE,2
119,RMM-VAE,2
120,RMM-VAE,2
121,RMM-VAE,2
122,RMM-VAE,2
123,RMM-VAE,2
124,RMM-VAE,4
125,RMM-VAE,4
126,RMM-VAE,4
127,RMM-VAE,4
128,RMM-VAE,4
129,RMM-VAE,4
130,RMM-VAE,4
131,RMM-VAE,2
132,RMM-VAE,2
133,RMM-VAE,2
134,RMM-VAE,2
135,RMM-VAE,2
136,RMM-VAE,2
137,RMM-VAE,2
138,RMM-VAE,2
139,RMM-VAE,2
140,RMM-VAE,2
141,RMM-VAE,2
142,RMM-VAE,1
143,RMM-VAE,0
144,RMM-VAE,0
145,RMM-VAE,1
146,RMM-VAE,2
147,RMM-VAE,2
148,RMM-VAE,2
149,RMM-VAE,4
150,RMM-VAE,4
151,RMM-VAE,2
152,RMM-VAE,1
153,RMM-VAE,1
154,RMM-VAE,1
155,RMM-VAE,1
156,RMM-VAE,1
157,RMM-VAE,1
158,RMM-VAE,1
159,RMM-VAE,0
160,RMM-VAE,0
161,RMM-VAE,0
162,RMM-VAE,0
163,RMM-VAE,0
164,RMM-VAE,0
165,RMM-VAE,0
166,RMM-VAE,0
167,RMM-VAE,0
168,RMM-VAE,1
169,RMM-VAE,1
170,RMM-VAE,1
171,RMM-VAE,1
172,RMM-VAE,1
173,RMM-VAE,1
174,RMM-VAE,1
175,RMM-VAE,1
176,RMM-VAE,1
177,RMM-VAE,1
178,RMM-VAE,3
179,RMM-VAE,3
180,RMM-VAE,1
181,RMM-VAE,1
182,RMM-VAE,1
183,RMM-VAE,1
184,RMM-VAE,1
185,RMM-VAE,1
186,RMM-VAE,2
187,RMM-VAE,2
188,RMM-VAE,2
189,RMM-VAE,2
190,RMM-VAE,2
191,RMM-VAE,3
192,RMM-VAE,3
193,RMM-VAE,0
194,RMM-VAE,0
195,RMM-VAE,0
196,RMM-VAE,0
197,RMM-VAE,0
198,RMM-VAE,0
199,RMM-VAE,0
200,RMM-VAE,1
201,RMM-VAE,1
202,RMM-VAE,1
203,RMM-VAE,1
204,RMM-VAE,1
205,RMM-VAE,1
206,RMM-VAE,1
207,RMM-VAE,2
208,RMM-VAE,4
209,RMM-VAE,4
210,RMM-VAE,4
211,RMM-VAE,3
212,RMM-VAE,3
213,RMM-VAE,3
214,RMM-VAE,3
215,RMM-VAE,3
216,RMM-VAE,1
217,RMM-VAE,1
218,RMM-VAE,0
219,RMM-VAE,0
220,RMM-VAE,0
221,RMM-VAE,0
222,RMM-VAE,0
223,RMM-VAE,0
224,RMM-VAE,1
225,RMM-VAE,1
226,RMM-VAE,2
227,RMM-VAE,2
228,RMM-VAE,2
229,RMM-VAE,2
230,RMM-VAE,2
231,RMM-VAE,2
232,RMM-VAE,2
233,RMM-VAE,2
234,RMM-VAE,2
235,RMM-VAE,2
236,RMM-VAE,2
237,RMM-VAE,3
238,RMM-VAE,1
239,RMM-VAE,1
240,RMM-VAE,1
241,RMM-VAE,1
242,RMM-VAE,1
243,RMM-VAE,1
244,RMM-VAE,1
245,RMM-VAE,1
246,RMM-VAE,2
247,RMM-VAE,2
248,RMM-VAE,2
249,RMM-VAE,1
250,RMM-VAE,1
251,RMM-VAE,1
252,RMM-VAE,1
253,RMM-VAE,1
254,RMM-VAE,1
255,RMM-VAE,1
256,RMM-VAE,3
257,RMM-VAE,3
258,RMM-VAE,3
259,RMM-VAE,3
260,RMM-VAE,1
261,RMM-VAE,1
262,RMM-VAE,3
263,RMM-VAE,3
264,RMM-VAE,3
265,RMM-VAE,2
266,RMM-VAE,2
267,RMM-VAE,2
268,RMM-VAE,2
269,RMM-VAE,2
270,RMM-VAE,2
271,RMM-VAE,2
272,RMM-VAE,2
273,RMM-VAE,2
274,RMM-VAE,2
275,RMM-VAE,2
276,RMM-VAE,2
277,RMM-VAE,2
278,RMM-VAE,2
279,RMM-VAE,2
280,RMM-VAE,2
281,RMM-VAE,2
282,RMM-VAE,4
283,RMM-VAE,4
284,RMM-VAE,3
285,RMM-VAE,3
286,RMM-VAE,3
287,RMM-VAE,3
288,RMM-VAE,3
289,RMM-VAE,2
290,RMM-VAE,2
291,RMM-VAE,2
292,RMM-VAE,2
293,RMM-VAE,2
294,RMM-VAE,2
295,RMM-VAE,2
296,RMM-VAE,2
297,RMM-VAE,2
298,RMM-VAE,2
299,RMM-VAE,2
300,RMM-VAE,2
301,RMM-VAE,2
302,RMM-VAE,2
303,RMM-VAE,2
304,RMM-VAE,2
305,RMM-VAE,2
306,RMM-VAE,2
307,RMM-VAE,2
308,RMM-VAE,2
309,RMM-VAE,2
310,RMM-VAE,2
311,RMM-VAE,2
312,RMM-VAE,2
313,RMM-VAE,1
314,RMM-VAE,1
315,RMM-VAE,0
316,RMM-VAE,1
317,RMM-VAE,1
318,RMM-VAE,1
319,RMM-VAE,2
320,RMM-VAE,2
321,RMM-VAE,2
322,RMM-VAE,2
323,RMM-VAE,2
324,RMM-VAE,2
325,RMM-VAE,2
326,RMM-VAE,2
327,RMM-VAE,2
328,RMM-VAE,4
329,RMM-VAE,4
330,RMM-VAE,4
331,RMM-VAE,4
332,RMM-VAE,4
333,RMM-VAE,2
334,RMM-VAE,2
335,RMM-VAE,2
336,RMM-VAE,2
337,RMM-VAE,2
338,RMM-VAE,1
339,RMM-VAE,0
340,RMM-VAE,0
341,RMM-VAE,0
342,RMM-VAE,0
343,RMM-VAE,0
344,RMM-VAE,0
345,RMM-VAE,0
346,RMM-VAE,2
347,RMM-VAE,2
348,RMM-VAE,2
349,RMM-VAE,2
350,RMM-VAE,2
351,RMM-VAE,2
352,RMM-VAE,2
353,RMM-VAE,1
354,RMM-VAE,0
355,RMM-VAE,0
356,RMM-VAE,0
357,RMM-VAE,0
358,RMM-VAE,0
359,RMM-VAE,0
360,RMM-VAE,0
361,RMM-VAE,0
362,RMM-VAE,0
363,RMM-VAE,1
364,RMM-VAE,1
365,RMM-VAE,1
366,RMM-VAE,1
367,RMM-VAE,0
368,RMM-VAE,0
369,RMM-VAE,1
370,RMM-VAE,1
371,RMM-VAE,1
372,RMM-VAE,1
373,RMM-VAE,1
374,RMM-VAE,1
375,RMM-VAE,1
376,RMM-VAE,1
377,RMM-VAE,3
378,RMM-VAE,3
379,RMM-VAE,3
380,RMM-VAE,3
381,RMM-VAE,3
382,RMM-VAE,3
383,RMM-VAE,3
384,RMM-VAE,2
385,RMM-VAE,1
386,RMM-VAE,1
387,RMM-VAE,1
388,RMM-VAE,1
389,RMM-VAE,1
390,RMM-VAE,3
391,RMM-VAE,1
392,RMM-VAE,1
393,RMM-VAE,1
394,RMM-VAE,1
395,RMM-VAE,0
396,RMM-VAE,0
397,RMM-VAE,0
398,RMM-VAE,1
399,RMM-VAE,3
400,RMM-VAE,3
401,RMM-VAE,3
402,RMM-VAE,2
403,RMM-VAE,2
404,RMM-VAE,1
405,RMM-VAE,0
406,RMM-VAE,0
407,RMM-VAE,0
408,RMM-VAE,2
409,RMM-VAE,2
410,RMM-VAE,2
411,RMM-VAE,2
412,RMM-VAE,2
413,RMM-VAE,2
414,RMM-VAE,2
415,RMM-VAE,2
416,RMM-VAE,2
417,RMM-VAE,2
418,RMM-VAE,1
419,RMM-VAE,1
420,RMM-VAE,1
421,RMM-VAE,1
422,RMM-VAE,1
423,RMM-VAE,1
424,RMM-VAE,1
425,RMM-VAE,1
426,RMM-VAE,1
427,RMM-VAE,1
428,RMM-VAE,1
429,RMM-VAE,1
430,RMM-VAE,3
431,RMM-VAE,3
432,RMM-VAE,3
433,RMM-VAE,0
434,RMM-VAE,0
435,RMM-VAE,0
436,RMM-VAE,0
437,RMM-VAE,0
438,RMM-VAE,0
439,RMM-VAE,1
440,RMM-VAE,1
441,RMM-VAE,1
442,RMM-VAE,1
443,RMM-VAE,3
444,RMM-VAE,3
445,RMM-VAE,2
446,RMM-VAE,2
447,RMM-VAE,2
448,RMM-VAE,2
449,RMM-VAE,0
450,RMM-VAE,0
451,RMM-VAE,0
452,RMM-VAE,0
453,RMM-VAE,0
454,RMM-VAE,1
455,RMM-VAE,2
456,RMM-VAE,1
457,RMM-VAE,1
458,RMM-VAE,1
459,RMM-VAE,1
460,RMM-VAE,2
461,RMM-VAE,2
462,RMM-VAE,2
463,RMM-VAE,2
464,RMM-VAE,2
465,RMM-VAE,3
466,RMM-VAE,3
467,RMM-VAE,3
468,RMM-VAE,3
469,RMM-VAE,1
470,RMM-VAE,1
471,RMM-VAE,0
472,RMM-VAE,0
473,RMM-VAE,0
474,RMM-VAE,0
475,RMM-VAE,1
476,RMM-VAE,1
477,RMM-VAE,3
478,RMM-VAE,2
479,RMM-VAE,2
480,RMM-VAE,2
481,RMM-VAE,3
